,alpha,beta,rho,K,loglike
9362,0.45,5,0.15000000000000002,4,-277.6792027981306
9363,0.45,5,0.15000000000000002,5,-277.1403722213966
9364,0.45,5,0.15000000000000002,6,-276.9046598198068
9365,0.45,5,0.2,2,-279.19502289772674
9366,0.45,5,0.2,3,-276.203368859364
9367,0.45,5,0.2,4,-274.3855555800128
9368,0.45,5,0.2,5,-273.75365679906065
9369,0.45,5,0.2,6,-273.4866436754359
9370,0.45,5,0.25,2,-277.02217203315655
9371,0.45,5,0.25,3,-273.3819553859524
9372,0.45,5,0.25,4,-271.2181520692505
9373,0.45,5,0.25,5,-270.5445454695969
9374,0.45,5,0.25,6,-270.2749500392321
9375,0.45,5,0.30000000000000004,2,-274.88848159902585
9376,0.45,5,0.30000000000000004,3,-270.64301074589554
9377,0.45,5,0.30000000000000004,4,-268.18305750159783
9378,0.45,5,0.30000000000000004,5,-267.52585114257613
9379,0.45,5,0.30000000000000004,6,-267.2867456672337
9380,0.45,5,0.35000000000000003,2,-272.79435038136995
9381,0.45,5,0.35000000000000003,3,-267.98945768788997
9382,0.45,5,0.35000000000000003,4,-265.28774724807994
9383,0.45,5,0.35000000000000003,5,-264.7135919942862
9384,0.45,5,0.35000000000000003,6,-264.54367608084567
9385,0.45,5,0.4,2,-270.74028498523984
9386,0.45,5,0.4,3,-265.4248990679454
9387,0.45,5,0.4,4,-262.541428902599
9388,0.45,5,0.4,5,-262.12790452618754
9389,0.45,5,0.4,6,-262.07324083281577
9390,0.45,5,0.45,2,-268.7269089169151
9391,0.45,5,0.45,3,-262.9537743617355
9392,0.45,5,0.45,4,-259.9554829617697
9393,0.45,5,0.45,5,-259.79433973733705
9394,0.45,5,0.45,6,-259.91077626755174
9395,0.45,5,0.5,2,-266.7549741093224
9396,0.45,5,0.5,3,-260.5815810065033
9397,0.45,5,0.5,4,-257.5440790558454
9398,0.45,5,0.5,5,-257.74575140633016
9399,0.45,5,0.5,6,-258.1023931998136
9400,0.45,5,0.55,2,-264.8253754636625
9401,0.45,5,0.55,3,-258.3151974803812
9402,0.45,5,0.55,4,-255.3250618766499
9403,0.45,5,0.55,5,-256.0251348328232
9404,0.45,5,0.55,6,-256.70947457382874
9405,0.45,5,0.6000000000000001,2,-262.93916919689536
9406,0.45,5,0.6000000000000001,3,-256.1633741934851
9407,0.45,5,0.6000000000000001,4,-253.321270162905
9408,0.45,5,0.6000000000000001,5,-254.6900612278128
9409,0.45,5,0.6000000000000001,6,-255.81584003359393
9410,0.45,5,0.65,2,-261.09759609372645
9411,0.45,5,0.65,3,-254.1375180580044
9412,0.45,5,0.65,4,-251.56258966684095
9413,0.45,5,0.65,5,-253.8199402264276
9414,0.45,5,0.65,6,-255.5397264088247
9415,0.45,5,0.7000000000000001,2,-259.3021112130083
9416,0.45,5,0.7000000000000001,3,-252.25302947489263
9417,0.45,5,0.7000000000000001,4,-250.08933746185625
9418,0.45,5,0.7000000000000001,5,-253.52864367973677
9419,0.45,5,0.7000000000000001,6,-256.05507278751855
9420,0.45,5,0.75,2,-257.5544222737254
9421,0.45,5,0.75,3,-250.5317770062036
9422,0.45,5,0.75,4,-248.95828245768257
9423,0.45,5,0.75,5,-253.9882045128713
9424,0.45,5,0.75,6,-257.63239481081183
9425,0.45,5,0.8,2,-255.85653998245212
9426,0.45,5,0.8,3,-249.0072093568057
9427,0.45,5,0.8,4,-248.25453667089064
9428,0.45,5,0.8,5,-255.4781577198904
9429,0.45,5,0.8,6,-260.725858446933
9430,0.45,5,0.8500000000000001,2,-254.21084520107735
9431,0.45,5,0.8500000000000001,3,-247.7366658758628
9432,0.45,5,0.8500000000000001,4,-248.11887241152073
9433,0.45,5,0.8500000000000001,5,-258.5045488161833
9434,0.45,5,0.8500000000000001,6,-266.1880467676095
9435,0.45,5,0.9,2,-252.6201805196733
9436,0.45,5,0.9,3,-246.83884105833377
9437,0.45,5,0.9,4,-248.82722058800923
9438,0.45,5,0.9,5,-264.16077340707506
9439,0.45,5,0.9,6,-275.9346083071282
9440,0.45,5,0.9500000000000001,2,-251.0879782962226
9441,0.45,5,0.9500000000000001,3,-246.6688359250397
9442,0.45,5,0.9500000000000001,4,-251.14898777645146
9443,0.45,5,0.9500000000000001,5,-275.8022824063302
9444,0.45,5,0.9500000000000001,6,-296.0808082307418
9445,0.45,5,1.0,2,-249.61844511827425
9446,0.45,5,1.0,3,-308.11132314127326
9447,0.45,5,1.0,4,-354.9036583651611
9448,0.45,5,1.0,5,-871.2464070118326
9449,0.45,5,1.0,6,-1324.1878019959643
9450,0.45,10,0.0,2,-271.85088394025263
9451,0.45,10,0.0,3,-271.85088394025263
9452,0.45,10,0.0,4,-271.85088394025263
9453,0.45,10,0.0,5,-271.85088394025263
9454,0.45,10,0.0,6,-271.85088394025263
9455,0.45,10,0.05,2,-272.08707902427045
9456,0.45,10,0.05,3,-272.264921937746
9457,0.45,10,0.05,4,-272.4614463687781
9458,0.45,10,0.05,5,-272.6835583737929
9459,0.45,10,0.05,6,-272.7926394573367
9460,0.45,10,0.1,2,-272.3396116518353
9461,0.45,10,0.1,3,-272.7157447114543
9462,0.45,10,0.1,4,-273.13305885671286
9463,0.45,10,0.1,5,-273.6054904471576
9464,0.45,10,0.1,6,-273.8390309168643
9465,0.45,10,0.15000000000000002,2,-272.60914001061235
9466,0.45,10,0.15000000000000002,3,-273.2057290687524
9467,0.45,10,0.15000000000000002,4,-273.87072417458376
9468,0.45,10,0.15000000000000002,5,-274.625631354923
9469,0.45,10,0.15000000000000002,6,-275.00140058506724
9470,0.45,10,0.2,2,-272.896374078708
9471,0.45,10,0.2,3,-273.73754354375444
9472,0.45,10,0.2,4,-274.680167846766
9473,0.45,10,0.2,5,-275.75446989465746
9474,0.45,10,0.2,6,-276.29317192492846
9475,0.45,10,0.25,2,-273.2020814812813
9476,0.45,10,0.25,3,-274.3142026333582
9477,0.45,10,0.25,4,-275.5679871694213
9478,0.45,10,0.25,5,-277.0044060189501
9479,0.45,10,0.25,6,-277.7303868552707
9480,0.45,10,0.30000000000000004,2,-273.5270942980283
9481,0.45,10,0.30000000000000004,3,-274.9391358802153
9482,0.45,10,0.30000000000000004,4,-276.54184242965965
9483,0.45,10,0.30000000000000004,5,-278.3902467468398
9484,0.45,10,0.30000000000000004,6,-279.3324286849584
9485,0.45,10,0.35000000000000003,2,-273.8723170288567
9486,0.45,10,0.35000000000000003,3,-275.6162774804068
9487,0.45,10,0.35000000000000003,4,-277.6107061547771
9488,0.45,10,0.35000000000000003,5,-279.9298764694784
9489,0.45,10,0.35000000000000003,6,-281.1230134619246
9490,0.45,10,0.4,2,-274.2387359834487
9491,0.45,10,0.4,3,-276.3501850009625
9492,0.45,10,0.4,4,-278.78519392348727
9493,0.45,10,0.4,5,-281.64518177918893
9494,0.45,10,0.4,6,-283.1315789689216
9495,0.45,10,0.45,2,-274.6274304392298
9496,0.45,10,0.45,3,-277.1462006248037
9497,0.45,10,0.45,4,-280.07801276806373
9498,0.45,10,0.45,5,-283.5633580293242
9499,0.45,10,0.45,6,-285.39527957250783
9500,0.45,10,0.5,2,-275.0395860201713
9501,0.45,10,0.5,3,-278.01067670829804
9502,0.45,10,0.5,4,-281.50458426503644
9503,0.45,10,0.5,5,-285.7188068155047
9504,0.45,10,0.5,6,-287.96193458393424
9505,0.45,10,0.55,2,-275.47651089889166
9506,0.45,10,0.55,3,-278.9513026282019
9507,0.45,10,0.55,4,-283.0839365768078
9508,0.45,10,0.55,5,-288.15598289154445
9509,0.45,10,0.55,6,-290.8945353899216
9510,0.45,10,0.6000000000000001,2,-275.93965563656354
9511,0.45,10,0.6000000000000001,3,-279.97759905053283
9512,0.45,10,0.6000000000000001,4,-284.84002890275855
9513,0.45,10,0.6000000000000001,5,-290.9338358465436
9514,0.45,10,0.6000000000000001,6,-294.27841844853566
9515,0.45,10,0.65,2,-276.430637780359
9516,0.45,10,0.65,3,-281.10170553791886
9517,0.45,10,0.65,4,-286.80380934688657
9518,0.45,10,0.65,5,-294.1330791329
9519,0.45,10,0.65,6,-298.23325329324894
9520,0.45,10,0.7000000000000001,2,-276.951272786321
9521,0.45,10,0.7000000000000001,3,-282.3397202750639
9522,0.45,10,0.7000000000000001,4,-289.0166036324719
9523,0.45,10,0.7000000000000001,5,-297.8688197001779
9524,0.45,10,0.7000000000000001,6,-302.93433433352914
9525,0.45,10,0.75,2,-277.5036135081942
9526,0.45,10,0.75,3,-283.714177217298
9527,0.45,10,0.75,4,-291.5361395906304
9528,0.45,10,0.75,5,-302.3142621059673
9529,0.45,10,0.75,6,-308.65346118738967
9530,0.45,10,0.8,2,-278.0900015273198
9531,0.45,10,0.8,3,-285.25916031679645
9532,0.45,10,0.8,4,-294.44844202236027
9533,0.45,10,0.8,5,-307.750054245828
9534,0.45,10,0.8,6,-315.846017887713
9535,0.45,10,0.8500000000000001,2,-278.7131352337735
9536,0.45,10,0.8500000000000001,3,-287.03261606336315
9537,0.45,10,0.8500000000000001,4,-297.8951531393332
9538,0.45,10,0.8500000000000001,5,-314.6833000843655
9539,0.45,10,0.8500000000000001,6,-325.36574455794505
9540,0.45,10,0.9,2,-279.3761622334867
9541,0.45,10,0.9,3,-289.1538198425974
9542,0.45,10,0.9,4,-302.15303382351794
9543,0.45,10,0.9,5,-324.2084030975156
9544,0.45,10,0.9,6,-339.1293901962075
9545,0.45,10,0.9500000000000001,2,-280.0828081516284
9546,0.45,10,0.9500000000000001,3,-291.9784290058819
9547,0.45,10,0.9500000000000001,4,-307.99228337980696
9548,0.45,10,0.9500000000000001,5,-339.68177499063455
9549,0.45,10,0.9500000000000001,6,-363.2532678131125
9550,0.45,10,1.0,2,-280.8375617947827
9551,0.45,10,1.0,3,-350.52797205404033
9552,0.45,10,1.0,4,-406.77488190422173
9553,0.45,10,1.0,5,-899.2309067830141
9554,0.45,10,1.0,6,-1324.1878019959643
9555,0.45,15,0.0,2,-334.255734217468
9556,0.45,15,0.0,3,-334.255734217468
9557,0.45,15,0.0,4,-334.255734217468
9558,0.45,15,0.0,5,-334.255734217468
9559,0.45,15,0.0,6,-334.255734217468
9560,0.45,15,0.05,2,-334.84999333592964
9561,0.45,15,0.05,3,-335.16530871822977
9562,0.45,15,0.05,4,-335.46106791700595
9563,0.45,15,0.05,5,-335.7451003245649
9564,0.45,15,0.05,6,-335.8836587950915
9565,0.45,15,0.1,2,-335.4592270576862
9566,0.45,15,0.1,3,-336.10926353088325
9567,0.45,15,0.1,4,-336.72414372646733
9568,0.45,15,0.1,5,-337.3197641562125
9569,0.45,15,0.1,6,-337.6119092725844
9570,0.45,15,0.15000000000000002,2,-336.0841110811276
9571,0.45,15,0.15000000000000002,3,-337.09001123869587
9572,0.45,15,0.15000000000000002,4,-338.0500182097869
9573,0.45,15,0.15000000000000002,5,-338.98874516120475
9574,0.45,15,0.15000000000000002,6,-339.45190454234626
9575,0.45,15,0.2,2,-336.7253724852822
9576,0.45,15,0.2,3,-338.11025524857445
9577,0.45,15,0.2,4,-339.4444692510603
9578,0.45,15,0.2,5,-340.76259849435263
9579,0.45,15,0.2,6,-341.4171425117787
9580,0.45,15,0.25,2,-337.3837956005442
9581,0.45,15,0.25,3,-339.17304405929616
9582,0.45,15,0.25,4,-340.9141451252269
9583,0.45,15,0.25,5,-342.65378864046767
9584,0.45,15,0.25,6,-343.5237374467929
9585,0.45,15,0.30000000000000004,2,-338.0602288296323
9586,0.45,15,0.30000000000000004,3,-340.2818403751835
9587,0.45,15,0.30000000000000004,4,-342.4667557675123
9588,0.45,15,0.30000000000000004,5,-344.6771853942998
9589,0.45,15,0.30000000000000004,6,-345.791142986316
9590,0.45,15,0.35000000000000003,2,-338.7555926261346
9591,0.45,15,0.35000000000000003,3,-341.4406107430898
9592,0.45,15,0.35000000000000003,4,-344.1113220706112
9593,0.45,15,0.35000000000000003,5,-346.850734231459
9594,0.45,15,0.35000000000000003,6,-348.24314356774676
9595,0.45,15,0.4,2,-339.4708888963704
9596,0.45,15,0.4,3,-342.6539442979054
9597,0.45,15,0.4,4,-345.85850674166625
9598,0.45,15,0.4,5,-349.19638119966584
9599,0.45,15,0.4,6,-350.909243495477
9600,0.45,15,0.45,2,-340.20721216911744
9601,0.45,15,0.45,3,-343.92721403423826
9602,0.45,15,0.45,4,-347.7210627480765
9603,0.45,15,0.45,5,-351.741379537903
9604,0.45,15,0.45,6,-353.8266618591915
9605,0.45,15,0.5,2,-340.9657629856633
9606,0.45,15,0.5,3,-345.26680238952264
9607,0.45,15,0.5,4,-349.71445644989143
9608,0.45,15,0.5,5,-354.52018721419915
9609,0.45,15,0.5,6,-357.0432809607902
9610,0.45,15,0.55,2,-341.74786411266973
9611,0.45,15,0.55,3,-346.68042811539306
9612,0.45,15,0.55,4,-351.85775968125427
9613,0.45,15,0.55,5,-357.5773138954928
9614,0.45,15,0.55,6,-360.62215350807674
9615,0.45,15,0.6000000000000001,2,-342.5549803923863
9616,0.45,15,0.6000000000000001,3,-348.17764056991274
9617,0.45,15,0.6000000000000001,4,-354.17497423956337
9618,0.45,15,0.6000000000000001,5,-360.9717626761668
9619,0.45,15,0.6000000000000001,6,-364.6486756705373
9620,0.45,15,0.65,2,-343.3887433499697
9621,0.45,15,0.65,3,-349.7706073472521
9622,0.45,15,0.65,4,-356.6970897894572
9623,0.45,15,0.65,5,-364.7842991550824
9624,0.45,15,0.65,6,-369.24257514033496
9625,0.45,15,0.7000000000000001,2,-344.25098212581236
9626,0.45,15,0.7000000000000001,3,-351.4754540244618
9627,0.45,15,0.7000000000000001,4,-359.46547261217114
9628,0.45,15,0.7000000000000001,5,-369.13008111603955
9629,0.45,15,0.7000000000000001,6,-374.57920298673474
9630,0.45,15,0.75,2,-345.14376297344745
9631,0.45,15,0.75,3,-353.31474133027405
9632,0.45,15,0.75,4,-362.5378901270896
9633,0.45,15,0.75,5,-374.18236268258016
9634,0.45,15,0.75,6,-380.93041403880704
9635,0.45,15,0.8,2,-346.0694405981387
9636,0.45,15,0.8,3,-355.3225793902733
9637,0.45,15,0.8,4,-366.0004057848503
9638,0.45,15,0.8,5,-380.2218400883519
9639,0.45,15,0.8,6,-388.75164613618745
9640,0.45,15,0.8500000000000001,2,-347.03072624636604
9641,0.45,15,0.8500000000000001,3,-357.55694028434164
9642,0.45,15,0.8500000000000001,4,-369.99469953613055
9643,0.45,15,0.8500000000000001,5,-387.75566444162155
9644,0.45,15,0.8500000000000001,6,-398.89669183566645
9645,0.45,15,0.9,2,-348.03078012095557
9646,0.45,15,0.9,3,-360.1371244140708
9647,0.45,15,0.9,4,-374.7975691103892
9648,0.45,15,0.9,5,-397.87828517653503
9649,0.45,15,0.9,6,-413.2823511730377
9650,0.45,15,0.9500000000000001,2,-349.0733401921489
9651,0.45,15,0.9500000000000001,3,-363.4188135280972
9652,0.45,15,0.9500000000000001,4,-381.17924972612815
9653,0.45,15,0.9500000000000001,5,-413.946158598815
9654,0.45,15,0.9500000000000001,6,-438.0249863680293
9655,0.45,15,1.0,2,-350.1629073671589
9656,0.45,15,1.0,3,-416.41512591751473
9657,0.45,15,1.0,4,-471.68669296924094
9658,0.45,15,1.0,5,-932.1269422374852
9659,0.45,15,1.0,6,-1324.1878019959643
9660,0.45,20,0.0,2,-407.569870763885
9661,0.45,20,0.0,3,-407.569870763885
9662,0.45,20,0.0,4,-407.569870763885
9663,0.45,20,0.0,5,-407.569870763885
9664,0.45,20,0.0,6,-407.569870763885
9665,0.45,20,0.05,2,-408.24434994243614
9666,0.45,20,0.05,3,-408.59073303519233
9667,0.45,20,0.05,4,-408.90900002623334
9668,0.45,20,0.05,5,-409.2073298669791
9669,0.45,20,0.05,6,-409.35287084600213
9670,0.45,20,0.1,2,-408.93367224989527
9671,0.45,20,0.1,3,-409.6457435440548
9672,0.45,20,0.1,4,-410.30555217558066
9673,0.45,20,0.1,5,-410.9297042085592
9674,0.45,20,0.1,6,-411.2357803108639
9675,0.45,20,0.15000000000000002,2,-409.6385139770352
9676,0.45,20,0.15000000000000002,3,-410.73731608197903
9677,0.45,20,0.15000000000000002,4,-411.76458558938066
9678,0.45,20,0.15000000000000002,5,-412.74601553754104
9679,0.45,20,0.15000000000000002,6,-413.23002063030293
9680,0.45,20,0.2,2,-410.35960279056167
9681,0.45,20,0.2,3,-411.86815525371185
9682,0.45,20,0.2,4,-413.29187994875986
9683,0.45,20,0.2,5,-414.6668212869526
9684,0.45,20,0.2,6,-415.3490922659116
9685,0.45,20,0.25,2,-411.09772360389246
9686,0.45,20,0.25,3,-413.04131074557625
9687,0.45,20,0.25,4,-414.8940853093687
9688,0.45,20,0.25,5,-416.7045881981138
9689,0.45,20,0.25,6,-417.6091120127443
9690,0.45,20,0.30000000000000004,2,-411.8537253981682
9691,0.45,20,0.30000000000000004,3,-414.2602464392362
9692,0.45,20,0.30000000000000004,4,-416.57891337096964
9693,0.45,20,0.30000000000000004,5,-418.87418830072636
9694,0.45,20,0.30000000000000004,6,-420.0295360139543
9695,0.45,20,0.35000000000000003,2,-412.6285292008457
9696,0.45,20,0.35000000000000003,3,-415.5289300487596
9697,0.45,20,0.35000000000000003,4,-418.35538677474904
9698,0.45,20,0.35000000000000003,5,-421.19356928389374
9699,0.45,20,0.35000000000000003,6,-422.63415118628967
9700,0.45,20,0.4,2,-413.4231374876084
9701,0.45,20,0.4,3,-416.85195186617864
9702,0.45,20,0.4,4,-420.23416996038634
9703,0.45,20,0.4,5,-423.6846793873866
9704,0.45,20,0.4,6,-425.45246428851
9705,0.45,20,0.45,2,-414.2386453521392
9706,0.45,20,0.45,3,-418.23468603319003
9707,0.45,20,0.45,4,-422.2280176119074
9708,0.45,20,0.45,5,-426.3747740206776
9709,0.45,20,0.45,6,-428.5216968393549
9710,0.45,20,0.5,2,-415.0762538962158
9711,0.45,20,0.5,3,-419.68351612422765
9712,0.45,20,0.5,4,-424.3523977900396
9713,0.45,20,0.5,5,-429.29831330039246
9714,0.45,20,0.5,6,-431.8897335437454
9715,0.45,20,0.55,2,-415.9372864426155
9716,0.45,20,0.55,3,-421.20616201770116
9717,0.45,20,0.55,4,-426.6263840134894
9718,0.45,20,0.55,5,-432.4998090194729
9719,0.45,20,0.55,6,-435.6196294850669
9720,0.45,20,0.6000000000000001,2,-416.8232083853677
9721,0.45,20,0.6000000000000001,3,-422.8121741879073
9722,0.45,20,0.6000000000000001,4,-429.07397974769947
9723,0.45,20,0.6000000000000001,5,-436.03826637433014
9724,0.45,20,0.6000000000000001,6,-439.7967831782639
9725,0.45,20,0.65,2,-417.7356517971035
9726,0.45,20,0.65,3,-424.51372133403356
9727,0.45,20,0.65,4,-431.7261763079888
9728,0.45,20,0.65,5,-439.99445303919117
9729,0.45,20,0.65,6,-444.5409246255962
9730,0.45,20,0.7000000000000001,2,-418.6764463614148
9731,0.45,20,0.7000000000000001,3,-426.3269301254832
9732,0.45,20,0.7000000000000001,4,-434.62434160714145
9733,0.45,20,0.7000000000000001,5,-444.48352884109363
9734,0.45,20,0.7000000000000001,6,-450.0274071602975
9735,0.45,20,0.75,2,-419.64765887077203
9736,0.45,20,0.75,3,-428.274362367388
9737,0.45,20,0.75,4,-437.8262446730642
9738,0.45,20,0.75,5,-449.67874990273606
9739,0.45,20,0.75,6,-456.52808780525316
9740,0.45,20,0.8,2,-420.6516445651243
9741,0.45,20,0.8,3,-430.3901292374362
9742,0.45,20,0.8,4,-441.417950532339
9743,0.45,20,0.8,5,-455.86081438342666
9744,0.45,20,0.8,6,-464.4984064632753
9745,0.45,20,0.8500000000000001,2,-421.6911152213681
9746,0.45,20,0.8500000000000001,3,-432.7322038181685
9747,0.45,20,0.8500000000000001,4,-445.54114065105966
9748,0.45,20,0.8500000000000001,5,-463.5368751571118
9749,0.45,20,0.8500000000000001,6,-474.792157441696
9750,0.45,20,0.9,2,-422.7692315684344
9751,0.45,20,0.9,3,-435.41988736365863
9752,0.45,20,0.9,4,-450.4726141043011
9753,0.45,20,0.9,5,-473.8013829242023
9754,0.45,20,0.9,6,-489.3261414854172
9755,0.45,20,0.9500000000000001,2,-423.8897320982679
9756,0.45,20,0.9500000000000001,3,-438.80886161969244
9757,0.45,20,0.9500000000000001,4,-456.98260653298064
9758,0.45,20,0.9500000000000001,5,-490.0107924145224
9759,0.45,20,0.9500000000000001,6,-514.216715378681
9760,0.45,20,1.0,2,-425.0571182352087
9761,0.45,20,1.0,3,-485.89520040209385
9762,0.45,20,1.0,4,-538.7482708556367
9763,0.45,20,1.0,5,-965.8439878447986
9764,0.45,20,1.0,6,-1324.1878019959643
9765,0.45,25,0.0,2,-483.31300790954003
9766,0.45,25,0.0,3,-483.31300790954003
9767,0.45,25,0.0,4,-483.31300790954003
9768,0.45,25,0.0,5,-483.31300790954003
9769,0.45,25,0.0,6,-483.31300790954003
9770,0.45,25,0.05,2,-484.01004046640924
9771,0.45,25,0.05,3,-484.36519747656826
9772,0.45,25,0.05,4,-484.68983113303483
9773,0.45,25,0.05,5,-484.99223947457796
9774,0.45,25,0.05,6,-485.1397956382372
9775,0.45,25,0.1,2,-484.72190254494313
9776,0.45,25,0.1,3,-485.45151126095976
9777,0.45,25,0.1,4,-486.12404421794815
9778,0.45,25,0.1,5,-486.7563467008747
9779,0.45,25,0.1,6,-487.0664496560818
9780,0.45,25,0.15000000000000002,2,-485.4492704549428
9781,0.45,25,0.15000000000000002,3,-486.57436309096937
9782,0.45,25,0.15000000000000002,4,-487.62070559596395
9783,0.45,25,0.15000000000000002,5,-488.6143514026223
9784,0.45,25,0.15000000000000002,6,-489.104391505497
9785,0.45,25,0.2,2,-486.1928718819421
9786,0.45,25,0.2,3,-487.7364576070971
9787,0.45,25,0.2,4,-489.1855950007241
9788,0.45,25,0.2,5,-490.5768110748189
9789,0.45,25,0.2,6,-491.26712171402636
9790,0.45,25,0.25,2,-486.9534917579606
9791,0.45,25,0.25,3,-488.94084453017257
9792,0.45,25,0.25,4,-490.82536253826083
9793,0.45,25,0.25,5,-492.65619251649565
9794,0.45,25,0.25,6,-493.5707571365814
9795,0.45,25,0.30000000000000004,2,-487.7319790824856
9796,0.45,25,0.30000000000000004,3,-490.1909877747761
9797,0.45,25,0.30000000000000004,4,-492.54771995601976
9798,0.45,25,0.30000000000000004,5,-494.86736780947444
9799,0.45,25,0.30000000000000004,6,-496.0347539680042
9800,0.45,25,0.35000000000000003,2,-488.52925490102723
9801,0.45,25,0.35000000000000003,3,-491.4908550858063
9802,0.45,25,0.35000000000000003,4,-494.36168993937866
9803,0.45,25,0.35000000000000003,5,-497.2282846874805
9804,0.45,25,0.35000000000000003,6,-498.6828991655272
9805,0.45,25,0.4,2,-489.34632170698075
9806,0.45,25,0.4,3,-492.845036783318
9807,0.45,25,0.4,4,-496.2779369675961
9808,0.45,25,0.4,5,-499.76089142460216
9809,0.45,25,0.4,6,-501.5446995126392
9810,0.45,25,0.45,2,-490.18427461134013
9811,0.45,25,0.45,3,-494.258907033128
9812,0.45,25,0.45,4,-498.3092157580167
9813,0.45,25,0.45,5,-502.49244345008736
9814,0.45,25,0.45,6,-504.6573765300176
9815,0.45,25,0.5,2,-491.04431473271694
9816,0.45,25,0.5,3,-495.7388494281714
9817,0.45,25,0.5,4,-500.47099439593393
9818,0.45,25,0.5,5,-505.4574008791701
9819,0.45,25,0.5,6,-508.0688148904687
9820,0.45,25,0.55,2,-491.9277654101455
9821,0.45,25,0.55,3,-497.29258385692293
9822,0.45,25,0.55,4,-502.78234641194416
9823,0.45,25,0.55,5,-508.7002754714613
9824,0.45,25,0.55,6,-511.8420695924493
9825,0.45,25,0.6000000000000001,2,-492.836092053203
9826,0.45,25,0.6000000000000001,3,-498.9296607904559
9827,0.45,25,0.6000000000000001,4,-505.26727526421575
9828,0.45,25,0.6000000000000001,5,-512.2800723397355
9829,0.45,25,0.6000000000000001,6,-516.0625389803198
9830,0.45,25,0.65,2,-493.7709267491877
9831,0.45,25,0.65,3,-500.6622489025312
9832,0.45,25,0.65,4,-507.95677223024626
9833,0.45,25,0.65,5,-516.2775589910607
9834,0.45,25,0.65,6,-520.8499527391119
9835,0.45,25,0.7000000000000001,2,-494.73409919523834
9836,0.45,25,0.7000000000000001,3,-502.50647479726905
9837,0.45,25,0.7000000000000001,4,-510.8922051328943
9838,0.45,25,0.7000000000000001,5,-520.8078949371499
9839,0.45,25,0.7000000000000001,6,-526.3796636162097
9840,0.45,25,0.75,2,-495.7276761959247
9841,0.45,25,0.75,3,-504.4849001360865
9842,0.45,25,0.75,4,-514.1313428129923
9843,0.45,25,0.75,5,-526.0443356988028
9844,0.45,25,0.75,6,-532.9235275116749
9845,0.45,25,0.8,2,-496.754013001382
9846,0.45,25,0.8,3,-506.631635778563
9847,0.45,25,0.8,4,-517.7602499053227
9848,0.45,25,0.8,5,-532.2675782097623
9849,0.45,25,0.8,6,-540.9369819976437
9850,0.45,25,0.8500000000000001,2,-497.81582139610947
9851,0.45,25,0.8500000000000001,3,-509.0046540277336
9852,0.45,25,0.8500000000000001,4,-521.9206069687956
9853,0.45,25,0.8500000000000001,5,-539.9847725072707
9854,0.45,25,0.8500000000000001,6,-551.2738158302913
9855,0.45,25,0.9,2,-498.9162621130534
9856,0.45,25,0.9,3,-511.7232537506919
9857,0.45,25,0.9,4,-526.8892104478787
9858,0.45,25,0.9,5,-550.2903609714336
9859,0.45,25,0.9,6,-565.8508129324587
9860,0.45,25,0.9500000000000001,2,-500.0590736430522
9861,0.45,25,0.9500000000000001,3,-515.1431046821704
9862,0.45,25,0.9500000000000001,4,-533.4362833169212
9863,0.45,25,0.9500000000000001,5,-566.5407577930071
9864,0.45,25,0.9500000000000001,6,-590.7842456438425
9865,0.45,25,1.0,2,-501.2487574017737
9866,0.45,25,1.0,3,-556.2426852861615
9867,0.45,25,1.0,4,-606.357153516523
9868,0.45,25,1.0,5,-999.7694581981141
9869,0.45,25,1.0,6,-1324.1878019959643
9870,0.45,30,0.0,2,-559.7395125466078
9871,0.45,30,0.0,3,-559.7395125466078
9872,0.45,30,0.0,4,-559.7395125466078
9873,0.45,30,0.0,5,-559.7395125466078
9874,0.45,30,0.0,6,-559.7395125466078
9875,0.45,30,0.05,2,-560.4434669512846
9876,0.45,30,0.05,3,-560.8013205000761
9877,0.45,30,0.05,4,-561.127911281895
9878,0.45,30,0.05,5,-561.4315763559805
9879,0.45,30,0.05,6,-561.5797554062711
9880,0.45,30,0.1,2,-561.1622492734596
9881,0.45,30,0.1,3,-561.8972497380173
9882,0.45,30,0.1,4,-562.5736957896283
9883,0.45,30,0.1,5,-563.2085107664562
9884,0.45,30,0.1,6,-563.5198589438671
9885,0.45,30,0.15000000000000002,2,-561.8965358096109
9886,0.45,30,0.15000000000000002,3,-563.0297140384954
9887,0.45,30,0.15000000000000002,4,-564.0819244165085
9888,0.45,30,0.15000000000000002,5,-565.0793374448355
9889,0.45,30,0.15000000000000002,6,-565.5712445089515
9890,0.45,30,0.2,2,-562.647054230274
9891,0.45,30,0.2,3,-564.2014179818401
9892,0.45,30,0.2,4,-565.6583767938791
9893,0.45,30,0.2,5,-567.0546137039722
9894,0.45,30,0.2,6,-567.7474123872311
9895,0.45,30,0.25,2,-563.4145894505127
9896,0.45,30,0.25,3,-565.4154112159023
9897,0.45,30,0.25,4,-567.3097029034428
9898,0.45,30,0.25,5,-569.14680611519
9899,0.45,30,0.25,6,-570.064479126486
9900,0.45,30,0.30000000000000004,2,-564.1999904505519
9901,0.45,30,0.30000000000000004,3,-566.6751575655426
9902,0.45,30,0.30000000000000004,4,-569.0436143398587
9903,0.45,30,0.30000000000000004,5,-571.3707864718832
9904,0.45,30,0.30000000000000004,6,-572.5419005258171
9905,0.45,30,0.35000000000000003,2,-565.0041782539009
9906,0.45,30,0.35000000000000003,3,-567.9846246635901
